Date,Recording.Day.of.Week,Lagged.Day.of.Week,Shift,Arrivals,Departures,Occupancy,Guests.per.Occ.,NCGR,Service.Events
9/16/2023,Saturday,Saturday,PM,8,0,58,1.534482759,14,41
9/18/2023,Monday,Monday,PM,21,0,76,1.289473684,0,80
9/20/2023,Wednesday,Wednesday,PM,39,0,100,1.34,0,113
9/21/2023,Thursday,Thursday,PM,16,0,98,1.581632653,35,72
9/23/2023,Saturday,Saturday,PM,13,0,98,1.816326531,68,89
9/25/2023,Monday,Monday,PM,25,0,55,1.181818182,0,57
9/26/2023,Tuesday,Tuesday,PM,40,0,97,1.134020619,0,108
9/29/2023,Friday,Friday,PM,25,0,77,1.415584416,2,89
10/2/2023,Monday,Monday,PM,25,0,89,1.02247191,0,66
10/3/2023,Tuesday,Tuesday,PM,10,0,92,1.010869565,0,50
10/4/2023,Wednesday,Wednesday,PM,14,0,83,0.963855422,0,55
10/5/2023,Thursday,Thursday,PM,15,0,67,1.119402985,0,79
10/6/2023,Friday,Friday,PM,32,0,62,1.193548387,0,82
10/7/2023,Saturday,Saturday,PM,22,0,56,1.589285714,0,68
10/9/2023,Monday,Monday,PM,34,0,82,1.219512195,0,92
10/11/2023,Wednesday,Wednesday,PM,23,0,96,1.114583333,13,95
10/13/2023,Friday,Friday,PM,12,0,79,1.506329114,40,55
10/14/2023,Saturday,Saturday,PM,11,0,80,1.45,40,73
10/16/2023,Monday,Monday,PM,24,0,79,1.151898734,0,59
10/17/2023,Tuesday,Tuesday,PM,25,0,95,0.989473684,0,61
10/19/2023,Thursday,Thursday,PM,10,0,56,1.107142857,0,57
10/20/2023,Friday,Friday,PM,23,0,61,1.442622951,0,76
10/23/2023,Monday,Monday,PM,5.273224289,0,98.3541232,0,0,52
10/25/2023,Wednesday,Wednesday,PM,19,0,96,1.104166667,0,73
10/27/2023,Friday,Friday,PM,26,0,64,1.5,0,83
10/30/2023,Monday,Monday,PM,17,0,60,1.016666667,0,59
10/31/2023,Tuesday,Tuesday,PM,17,0,75,1.04,0,78
11/1/2023,Wednesday,Wednesday,PM,25,0,99,1.050505051,0,71
11/3/2023,Friday,Friday,PM,8,0,100,1.04,0,60
11/4/2023,Saturday,Saturday,PM,11,0,88,1.136363636,0,73
11/6/2023,Monday,Monday,PM,26,0,74,1.162162162,0,65
11/8/2023,Wednesday,Wednesday,PM,9,0,73,1.054794521,0,61
11/10/2023,Friday,Friday,PM,16,0,52,1.519230769,0,63
11/11/2023,Saturday,Saturday,PM,12,0,56,1.214285714,0,45
11/16/2023,Thursday,Thursday,AM,14,31,82,1.146341463,0,77
11/16/2023,Thursday,Thursday,PM,11,0,82,1.146341463,0,43
11/17/2023,Friday,Friday,PM,30,0,89,1.314606742,0,81
11/18/2023,Saturday,Saturday,PM,20,0,73,1.479452055,0,54
11/20/2023,Monday,Monday,PM,9,0,68,1.426470588,0,40
11/23/2023,Thursday,Thursday,PM,2,0,19,1.736842105,0,12
11/24/2023,Friday,Friday,PM,8,0,31,1.806451613,0,38
11/25/2023,Saturday,Saturday,PM,12,0,34,1.676470588,0,45
11/28/2023,Tuesday,Tuesday,PM,29,0,89,1.033707865,0,90
11/29/2023,Wednesday,Wednesday,PM,14,0,77,1.038961039,0,45
12/1/2023,Friday,Friday,AM,25,32,51,1.529411765,0,37
12/1/2023,Friday,Friday,PM,18,0,51,1.529411765,0,57
12/2/2023,Saturday,Saturday,PM,13,0,43,1.279069767,0,36
12/4/2023,Monday,Monday,PM,23,0,76,1.026315789,0,60
12/5/2023,Tuesday,Tuesday,PM,21,0,95,1.063157895,0,91
12/6/2023,Wednesday,Wednesday,PM,12,0,82,1.012195122,0,40
12/8/2023,Friday,Friday,PM,12,0,46,1.173913043,0,37
12/9/2023,Saturday,Saturday,PM,14,0,52,1.326923077,0,38
12/10/2023,Sunday,Sunday,PM,7,0,33,1.121212121,0,45
12/11/2023,Monday,Monday,PM,13,0,48,0.958333333,0,37
12/12/2023,Tuesday,Tuesday,PM,30,0,81,1.148148148,0,89
12/13/2023,Wednesday,Wednesday,PM,18,0,78,1.115384615,0,49
12/15/2023,Friday,Friday,PM,19,0,55,1.636363636,0,74
12/16/2023,Saturday,Saturday,PM,19,0,60,1.9,0,70
12/17/2023,Sunday,Sunday,PM,8,0,33,1.121212121,0,31
12/20/2023,Wednesday,Wednesday,PM,7,0,36,1.305555556,0,28
12/23/2023,Saturday,Saturday,PM,9,0,33,1.909090909,0,28
12/26/2023,Tuesday,Tuesday,PM,10,0,23,1.47826087,0,40
12/27/2023,Wednesday,Wednesday,PM,15,0,37,1.513513514,0,42
12/29/2023,Friday,Friday,PM,15,0,45,1.622222222,0,43
12/30/2023,Saturday,Saturday,PM,8,0,31,1.516129032,0,44
1/1/2024,Monday,Monday,PM,3,0,20,1.65,0,18
1/3/2024,Wednesday,Wednesday,PM,10,0,53,1.339622642,0,41
1/5/2024,Friday,Friday,PM,7,0,36,1.333333333,0,42
1/6/2024,Saturday,Saturday,PM,9,0,46,1.086956522,0,49
1/8/2024,Monday,Monday,PM,23,0,67,1.179104478,0,68
